,Cloud Top Height,Cloud Top Temperature,Cloud Top Phase,Shortwave Albedo,Long Wave Flux,Ice Water Path,Cloud Particle Size,RF
2018-02-24 02:30:20,1.8465118408203125,3.6903320312500227,1.0,39.53575134277344,244.8391876220703,85.955810546875,11.959747314453125,RF15
2018-02-24 02:30:30,2.0836715698242188,2.0320068359375227,1.0,14.305991172790527,247.2083740234375,14.408068656921387,12.31895637512207,RF15
2018-02-24 02:30:40,1.8771133422851562,3.4763732910156477,1.0,30.502151489257812,244.53985595703125,59.925697326660156,14.221358299255371,RF15
2018-02-24 02:30:50,1.8565940856933594,3.6198364257812727,1.0,33.5626106262207,244.79486083984375,74.06328582763672,14.407593727111816,RF15
2018-02-24 02:31:00,1.9236717224121094,3.1508117675781477,1.0,24.744821548461914,244.2085418701172,45.24052810668945,15.3145751953125,RF15
2018-02-24 02:31:10,1.8562049865722656,3.3741699218750227,1.0,27.135452270507812,246.06715393066406,53.16902160644531,15.310977935791016,RF15
2018-02-24 02:31:20,1.8728485107421875,3.2581420898437727,1.0,19.668655395507812,247.07522583007812,30.508581161499023,14.854450225830078,RF15
2018-02-24 02:31:30,1.8728485107421875,3.2581420898437727,1.0,19.668655395507812,247.07522583007812,30.508581161499023,14.854450225830078,RF15
2018-02-24 02:31:40,1.8574943542480469,3.3651672363281477,1.0,22.48323631286621,246.52769470214844,36.37531661987305,14.58268928527832,RF15
2018-02-24 02:31:50,1.8574943542480469,3.3651672363281477,1.0,22.48323631286621,246.52769470214844,36.37531661987305,14.58268928527832,RF15
2018-02-24 02:32:00,1.7466011047363281,4.138177490234398,1.0,29.697769165039062,247.38926696777344,60.993682861328125,15.0038423538208,RF15
2018-02-24 02:32:10,1.61248779296875,5.073022460937523,1.0,33.42550277709961,249.0218963623047,75.75674438476562,14.95712947845459,RF15
2018-02-24 02:32:20,1.61248779296875,5.073022460937523,1.0,33.42550277709961,249.0218963623047,75.75674438476562,14.95712947845459,RF15
2018-02-24 02:32:30,1.507415771484375,5.805444335937523,1.0,19.2891845703125,251.49008178710938,24.807559967041016,12.741511344909668,RF15
2018-02-24 02:32:40,1.2815399169921875,7.379907226562523,1.0,17.434879302978516,254.2502899169922,23.222137451171875,13.89851188659668,RF15
2018-02-24 02:32:50,1.2815399169921875,7.379907226562523,1.0,17.434879302978516,254.2502899169922,23.222137451171875,13.89851188659668,RF15
2018-02-24 02:33:00,1.43927001953125,6.280450439453148,1.0,29.15833282470703,251.10447692871094,65.757568359375,16.671499252319336,RF15
2018-02-24 02:33:10,1.5603790283203125,5.436242675781273,1.0,30.56555938720703,249.7126007080078,94.39962005615234,21.317466735839844,RF15
2018-02-24 02:33:20,1.5603790283203125,5.436242675781273,1.0,30.56555938720703,249.7126007080078,94.39962005615234,21.317466735839844,RF15
2018-02-24 02:33:30,1.8501625061035156,3.4162841796875227,1.0,30.21703338623047,246.12017822265625,97.33751678466797,22.36250877380371,RF15
2018-02-24 02:33:40,1.895965576171875,3.0970092773437727,1.0,40.94440460205078,245.49343872070312,209.80984497070312,24.501216888427734,RF15
